"ndc","type","detail","Created_date"
"2427","onkz","Nideggen","2018-03-08T12:14:34.847Z"
"2428","onkz","Niederzier","2018-03-08T12:14:34.847Z"
"2429","onkz","Hürtgenwald","2018-03-08T12:14:34.847Z"
"2431","onkz","Erkelenz","2018-03-08T12:14:34.847Z"
"2432","onkz","Wassenberg","2018-03-08T12:14:34.847Z"
"2433","onkz","Hückelhoven","2018-03-08T12:14:34.847Z"
"2434","onkz","Wegberg","2018-03-08T12:14:34.847Z"
"2435","onkz","Erkelenz-Lövenich","2018-03-08T12:14:34.847Z"
"2436","onkz","Wegberg-Rödgen","2018-03-08T12:14:34.847Z"
"2440","onkz","Nettersheim-Tondorf","2018-03-08T12:14:34.847Z"
"2441","onkz","Kall","2018-03-08T12:14:34.847Z"
"2443","onkz","Mechernich","2018-03-08T12:14:34.847Z"
"2444","onkz","Schleiden-Gemünd","2018-03-08T12:14:34.847Z"
"2445","onkz","Schleiden Eifel","2018-03-08T12:14:34.847Z"
"2446","onkz","Heimbach Eifel","2018-03-08T12:14:34.847Z"
"2447","onkz","Dahlem b Kall","2018-03-08T12:14:34.847Z"
"2448","onkz","Hellenthal-Rescheid","2018-03-08T12:14:34.847Z"
"2449","onkz","Blankenheim Ahr","2018-03-08T12:14:34.847Z"
"2451","onkz","Geilenkirchen","2018-03-08T12:14:34.847Z"
"2452","onkz","Heinsberg Rheinl","2018-03-08T12:14:34.847Z"
"2453","onkz","Heinsberg-Randerath","2018-03-08T12:14:34.847Z"
"2454","onkz","Gangelt","2018-03-08T12:14:34.847Z"
"2455","onkz","Waldfeucht","2018-03-08T12:14:34.847Z"
"2456","onkz","Selfkant","2018-03-08T12:14:34.847Z"
"2461","onkz","Jülich","2018-03-08T12:14:34.847Z"
"2462","onkz","Linnich","2018-03-08T12:14:34.847Z"
"2463","onkz","Titz","2018-03-08T12:14:34.847Z"
"2464","onkz","Aldenhoven b Jülich","2018-03-08T12:14:34.847Z"
"2465","onkz","Inden","2018-03-08T12:14:34.847Z"
"2471","onkz","Roetgen Eifel","2018-03-08T12:14:34.847Z"
"2472","onkz","Monschau","2018-03-08T12:14:34.847Z"
"2473","onkz","Simmerath","2018-03-08T12:14:34.847Z"
"2474","onkz","Nideggen-Schmidt","2018-03-08T12:14:34.847Z"
"2482","onkz","Hellenthal","2018-03-08T12:14:34.847Z"
"2484","onkz","Mechernich-Eiserfey","2018-03-08T12:14:34.847Z"
"2485","onkz","Schleiden-Dreiborn","2018-03-08T12:14:34.847Z"
"2486","onkz","Nettersheim","2018-03-08T12:14:34.847Z"
"2501","onkz","Münster-Hiltrup","2018-03-08T12:14:34.847Z"
"2502","onkz","Nottuln","2018-03-08T12:14:34.847Z"
"2504","onkz","Telgte","2018-03-08T12:14:34.847Z"
"2505","onkz","Altenberge Westf","2018-03-08T12:14:34.847Z"
"2506","onkz","Münster-Wolbeck","2018-03-08T12:14:34.847Z"
"2507","onkz","Havixbeck","2018-03-08T12:14:34.847Z"
"2508","onkz","Drensteinfurt","2018-03-08T12:14:34.847Z"
"2509","onkz","Nottuln-Appelhülsen","2018-03-08T12:14:34.847Z"
"251","onkz","Münster","2018-03-08T12:14:34.847Z"
"2520","onkz","Wadersloh-Diestedde","2018-03-08T12:14:34.847Z"
"2521","onkz","Beckum","2018-03-08T12:14:34.847Z"
"2522","onkz","Oelde","2018-03-08T12:14:34.847Z"
"2523","onkz","Wadersloh","2018-03-08T12:14:34.847Z"
"2524","onkz","Ennigerloh","2018-03-08T12:14:34.847Z"
"2525","onkz","Beckum-Neubeckum","2018-03-08T12:14:34.847Z"
"2526","onkz","Sendenhorst","2018-03-08T12:14:34.847Z"
"2527","onkz","Lippetal-Lippborg","2018-03-08T12:14:34.847Z"
"2528","onkz","Ennigerloh-Enniger","2018-03-08T12:14:34.847Z"
"2529","onkz","Oelde-Stromberg","2018-03-08T12:14:34.847Z"
"2532","onkz","Ostbevern","2018-03-08T12:14:34.847Z"
"2533","onkz","Münster-Nienberge","2018-03-08T12:14:34.847Z"
"2534","onkz","Münster-Roxel","2018-03-08T12:14:34.847Z"
"2535","onkz","Sendenhorst-Albersloh","2018-03-08T12:14:34.847Z"
"2536","onkz","Münster-Albachten","2018-03-08T12:14:34.847Z"
"2538","onkz","Drensteinfurt-Rinkerode","2018-03-08T12:14:34.847Z"
"2541","onkz","Coesfeld","2018-03-08T12:14:34.847Z"
"2542","onkz","Gescher","2018-03-08T12:14:34.847Z"
"2543","onkz","Billerbeck Westf","2018-03-08T12:14:34.847Z"
"2545","onkz","Rosendahl-Darfeld","2018-03-08T12:14:34.847Z"
"2546","onkz","Coesfeld-Lette","2018-03-08T12:14:34.847Z"
"2547","onkz","Rosendahl-Osterwick","2018-03-08T12:14:34.847Z"
"2548","onkz","Dülmen-Rorup","2018-03-08T12:14:34.847Z"
"2551","onkz","Steinfurt-Burgsteinfurt","2018-03-08T12:14:34.847Z"
"2552","onkz","Steinfurt-Borghorst","2018-03-08T12:14:34.847Z"
"2553","onkz","Ochtrup","2018-03-08T12:14:34.847Z"
"2554","onkz","Laer Kr Steinfurt","2018-03-08T12:14:34.847Z"
"2555","onkz","Schöppingen","2018-03-08T12:14:34.847Z"
"2556","onkz","Metelen","2018-03-08T12:14:34.847Z"
"2557","onkz","Wettringen Kr Steinfurt","2018-03-08T12:14:34.847Z"
"2558","onkz","Horstmar","2018-03-08T12:14:34.847Z"
"2561","onkz","Ahaus","2018-03-08T12:14:34.847Z"
"2562","onkz","Gronau Westfalen","2018-03-08T12:14:34.847Z"
"2563","onkz","Stadtlohn","2018-03-08T12:14:34.847Z"
"2564","onkz","Vreden","2018-03-08T12:14:34.847Z"
"2565","onkz","Gronau-Epe","2018-03-08T12:14:34.847Z"
"2566","onkz","Legden","2018-03-08T12:14:34.847Z"
"2567","onkz","Ahaus-Alstätte","2018-03-08T12:14:34.847Z"
"2568","onkz","Heek","2018-03-08T12:14:34.847Z"
"2571","onkz","Greven Westf","2018-03-08T12:14:34.847Z"
"2572","onkz","Emsdetten","2018-03-08T12:14:34.847Z"
"2573","onkz","Nordwalde","2018-03-08T12:14:34.847Z"
"2574","onkz","Saerbeck","2018-03-08T12:14:34.847Z"
"2575","onkz","Greven-Reckenfeld","2018-03-08T12:14:34.847Z"
"2581","onkz","Warendorf","2018-03-08T12:14:34.847Z"
"2582","onkz","Everswinkel","2018-03-08T12:14:34.847Z"
"2583","onkz","Sassenberg","2018-03-08T12:14:34.847Z"
"2584","onkz","Warendorf-Milte","2018-03-08T12:14:34.847Z"
"2585","onkz","Warendorf-Hoetmar","2018-03-08T12:14:34.847Z"
"2586","onkz","Beelen","2018-03-08T12:14:34.847Z"
"2587","onkz","Ennigerloh-Westkirchen","2018-03-08T12:14:34.847Z"
"2588","onkz","Harsewinkel-Greffen","2018-03-08T12:14:34.847Z"
"2590","onkz","Dülmen-Buldern","2018-03-08T12:14:34.847Z"
"2591","onkz","Lüdinghausen","2018-03-08T12:14:34.847Z"
"2592","onkz","Selm","2018-03-08T12:14:34.847Z"
"2593","onkz","Ascheberg Westf","2018-03-08T12:14:34.847Z"
"2594","onkz","Dülmen","2018-03-08T12:14:34.847Z"
"2595","onkz","Olfen","2018-03-08T12:14:34.847Z"
"2596","onkz","Nordkirchen","2018-03-08T12:14:34.847Z"
"2597","onkz","Senden Westf","2018-03-08T12:14:34.847Z"
"2598","onkz","Senden-Ottmarsbocholt","2018-03-08T12:14:34.847Z"
"2599","onkz","Ascheberg-Herbern","2018-03-08T12:14:34.847Z"
"2601","onkz","Nauort","2018-03-08T12:14:34.847Z"
"2602","onkz","Montabaur","2018-03-08T12:14:34.847Z"
"2603","onkz","Bad Ems","2018-03-08T12:14:34.847Z"
"2604","onkz","Nassau Lahn","2018-03-08T12:14:34.847Z"
"2605","onkz","Löf","2018-03-08T12:14:34.847Z"
"2606","onkz","Winningen Mosel","2018-03-08T12:14:34.847Z"
"2607","onkz","Kobern-Gondorf","2018-03-08T12:14:34.847Z"
"2608","onkz","Welschneudorf","2018-03-08T12:14:34.847Z"
"261","onkz","Koblenz a Rhein","2018-03-08T12:14:34.847Z"
